任务编号,失败次数,下次执行时间,执行间隔,执行内容
21,0,2019-12-19 08:00:00,TRUNC(sysdate+1) + 8/(24),PKG_LC_INDEX_LXN_BAD_CELL_DAY.ACTIVE_LC_INDEX_DAY_AUTO;
41,0,2019-12-19 17:00:00,TRUNC(sysdate+1) + 17/(24),PKG_MANAGE_SYSTEM_SHIN_PLUS8.PROC_PARTITION_ADD_AUTO;
181,0,2019-12-19 07:00:00,TRUNC(sysdate+1) + 7/(24),PKG_DAILY_CHECK.CSV_CHECKRESULT;
141,0,2019-12-19 08:00:00,TRUNC(sysdate+1) + 8/(24),PKG_LC_INDEX_VOLTE_CELL.ACTIVE_LC_INDEX_VOLTE_89A_AUTO;
281,0,2019-12-19 01:20:00,TRUNC(sysdate+1) + (60+20)/(60*24),PKG_LC_OMC_BUSY.ACTIVE_OMC_BUSY_AUTO;
103,0,2019-12-18 19:08:05,sysdate + 1/24,check_data;
123,0,2019-12-19 11:00:00,TRUNC(sysdate+1) + 11/(24),PKG_MANAGE_SYSTEM_SHIN_PLUS8.PROC_PARTITION_ADD_AUTO;
143,0,2019-12-19 03:00:00,TRUNC(sysdate+1) + 3/(24),PKG_MANAGE_SYSTEM_SHIN_PLUS8.PROC_PARTITION_CLEANUP_AUTO;
23,0,2019-12-19 08:00:00,trunc(sysdate+1)+8/24,sp_kpi_cell(trunc(sysdate-1));
24,0,2019-12-19 10:00:00,TRUNC(sysdate+1)+10/24 ,proc_update_name;
43,0,2019-12-19 03:00:00,TRUNC(sysdate+1) + 3/(24),PKG_MANAGE_SYSTEM_SHIN_PLUS8.PROC_PARTITION_CLEANUP_AUTO;
